StargazeAddress,CosmosAddress,Balance,IsStaking
stars1kjvkkyharafy6rxwu9sy9sas2kr5zl3mg5y562,cosmos1kjvkkyharafy6rxwu9sy9sas2kr5zl3mugnf3m,0.408951,Yes
stars1ty56n6jd5k7qm7j7jq0pf4xjdjvnadfzn09n26,cosmos1ty56n6jd5k7qm7j7jq0pf4xjdjvnadfz8njwpt,0,No
stars1fxafhlr3n2zgags44zkgjycp3xcxsjlkwgwxaa,cosmos1fxafhlr3n2zgags44zkgjycp3xcxsjlk65emkv,0,No
stars1d7sw0t3nyajddyjtvwargqkypqx0yumdarq302,cosmos1d7sw0t3nyajddyjtvwargqkypqx0yumdflhvym,0.060738,Yes
stars10m909dfqxera6fa8ge3t0lwf634qrk80q39pkp,cosmos10m909dfqxera6fa8ge3t0lwf634qrk805djuas,0,No
stars1kzgttlvuccvrwfhuarvj0mymdl6xl9d5hm2hr6,cosmos1kzgttlvuccvrwfhuarvj0mymdl6xl9d5r8a2gt,0.033109,Yes
stars18av2j9mzvltakcr04ld7s6j8dg2h4q8ctv2e66,cosmos18av2j9mzvltakcr04ld7s6j8dg2h4q8clsay3t,0.045186,Yes
stars1h7fks4xrun9rcadfmadtw3zxjpmpwn7h4zxnxu,cosmos1h7fks4xrun9rcadfmadtw3zxjpmpwn7hp73wdd,0.002702,No
stars1sle7pxe2m4g0fphvrtyzvek3wqs2509faj4pvx,cosmos1sle7pxe2m4g0fphvrtyzvek3wqs2509ffwzu8h,0.002196,No
stars1d638gncyvhsx9zqg8y9hsaz8tge8vune5lvtsv,cosmos1d638gncyvhsx9zqg8y9hsaz8tge8vuneqrmkma,0.001429,No
stars1nh8ml6876ga9w0k5thf38q7r9fxpypys78p70s,cosmos1nh8ml6876ga9w0k5thf38q7r9fxpypys2mkryp,0,Yes
stars1u2sc06065pmlzunuhyknl59yv67zzclur6xqse,cosmos1u2sc06065pmlzunuhyknl59yv67zzcluhx3amg,0.43921,Yes
stars1s4ktl3mxj7jntwk0egxlym6k6tz07nkeqxa4tq,cosmos1s4ktl3mxj7jntwk0egxlym6k6tz07nke562gq3,0.402044,Yes
stars12kheqler9w2aw4xlyvqwpl8ngz97tzmcjrk79g,cosmos12kheqler9w2aw4xlyvqwpl8ngz97tzmcxlprwe,0.059094,Yes
stars130tcpz6l0j9f382prlj67r29jmr25cgpacmd7r,cosmos130tcpz6l0j9f382prlj67r29jmr25cgpfyvs4j,0.001327,No
stars13kx4yld848cve8p0x5d5g9p5jg308nekxpvpyr,cosmos13kx4yld848cve8p0x5d5g9p5jg308nekjamu0j,0.201327,Yes
stars1c0k6p340st8egc7jcfndfm4jmly4na6c98wyvl,cosmos1c0k6p340st8egc7jcfndfm4jmly4na6c3mee8w,4.747246,Yes
stars1xke5q2jwhhmxs2jq4cwpve0yewefzsjqxt55ak,cosmos1xke5q2jwhhmxs2jq4cwpve0yewefzsjqjhrfk8,0.416476,No
stars1lffsns76e9dg8tf2s779dvjyfu3sgn94l8e8vx24jy8s3lza0t3qf7ckxj,cosmos1lffsns76e9dg8tf2s779dvjyfu3sgn94l8e8vx24jy8s3lza0t3qleu3f2,0,No
stars1m8r8m76cqd333jrvg5wdc5vewlul6e2gvvq96w,cosmos1m8r8m76cqd333jrvg5wdc5vewlul6e2gcshc3l,0.02594,Yes
stars1ldyrv5nynqnwjknqmklmcnq95utqpz3ru3a9f7,cosmos1ldyrv5nynqnwjknqmklmcnq95utqpz3rgd2cz0,1.11009,Yes
stars1ccs9f0s7fhegd3ucr68gcwgm3frlfn2t2mvkps,cosmos1ccs9f0s7fhegd3ucr68gcwgm3frlfn2t78mt2p,0,No
stars16cpvw6xvrealenzhw3fgq6j7vuyyjucd2skyck,cosmos16cpvw6xvrealenzhw3fgq6j7vuyyjucd7vpen8,0,No
stars1hcwss82954s8zwmxclc2jau3zzytysype5seww,cosmos1hcwss82954s8zwmxclc2jau3zzytysypdg8y9l,0,No
stars16yx38axyfwvf47d6lwwhdqfudg9sqg5svxfmag,cosmos16yx38axyfwvf47d6lwwhdqfudg9sqg5sc67xke,0,No
stars1t57tfp3ykhpf87ejaf5mwkn209vmhz9rgh2934,cosmos1t57tfp3ykhpf87ejaf5mwkn209vmhz9rutac6y,0.147394,Yes
stars1luwe02h396hwfltl29j6fjuh9qvlvln9f8h0qg,cosmos1luwe02h396hwfltl29j6fjuh9qvlvln9amqjte,0,No
stars1d7qzele2ssqmg034na2gvgghxg5fxa0waewfgh,cosmos1d7qzele2ssqmg034na2gvgghxg5fxa0wf9e5rx,0.027798,Yes
